b,fold,h,zero_frac,base,+thermal,+holiday,hol_n,+both
Bobcat_education_Angela,fold3,6,0.0,1.1915996243048605,1.1633757944843182,1.1589352365141454,0,1.1522697632354049
Bobcat_education_Angela,fold3,12,0.0,1.1440745551694127,1.1608230907967505,1.175904118866972,0,1.1643310305737118
Bobcat_education_Angela,fold3,18,0.0,1.12676880977582,1.3404484526835494,1.2090966617857097,0,1.2774904425240863
Bobcat_education_Angela,fold3,24,0.0,1.413468516809344,1.364108629276813,1.410194281713024,0,1.4015818733365766
Bobcat_other_Howard,fold0,1,0.9222222222222223,0.27714005349955856,0.285374295552536,0.29331616576962766,48,0.27854413290330743
Bobcat_other_Howard,fold0,6,0.9222222222222223,0.45598642453343813,0.4413391905543316,0.4778134121069956,48,0.4857912233958462
Bobcat_other_Howard,fold0,12,0.9222222222222223,0.5116170287893791,0.5079512387626732,0.537196856671149,48,0.5363429399682412
Bobcat_other_Howard,fold0,18,0.9222222222222223,0.6604084703720994,0.6803830783281688,0.6875807508379983,48,0.6451932358681571
Bobcat_other_Howard,fold0,24,0.9222222222222223,0.6806367995915241,0.697584393788498,0.7008948790530907,48,0.7040160739147828
Bobcat_other_Howard,fold1,1,0.0625,0.6553372305492566,0.6463527107189926,0.6728610417339169,24,0.6599847424862562
Bobcat_other_Howard,fold1,6,0.0625,0.6473767729343325,0.635481991106465,0.6380578646471377,24,0.6460258871670208
Bobcat_other_Howard,fold1,12,0.0625,0.6481442414429535,0.6612746084861727,0.6305229045744335,24,0.6499898633631579
Bobcat_other_Howard,fold1,18,0.0625,0.6312021492382414,0.6366440326092868,0.6404255995728848,24,0.6573341325040749
Bobcat_other_Howard,fold1,24,0.0625,0.638192090261064,0.6472517854320253,0.6585528501243649,24,0.674543726243977
Bobcat_other_Howard,fold2,1,0.48194444444444445,0.5512527690097826,0.5683914629023481,0.5746449352950127,0,0.5989962158756374
Bobcat_other_Howard,fold2,6,0.48194444444444445,0.6060198253966085,0.6186010170754459,0.5940872264773224,0,0.6238954610446765
Bobcat_other_Howard,fold2,12,0.48194444444444445,0.6243858569564795,0.6225125208961345,0.6115899990256921,0,0.6424827745142676
Bobcat_other_Howard,fold2,18,0.48194444444444445,0.6808701522326043,0.6815417267598056,0.6882614752469198,0,0.64469623588072
Bobcat_other_Howard,fold2,24,0.48194444444444445,0.7223222190964459,0.6798082309245234,0.7028641187907684,0,0.6779250636012751
Bobcat_other_Howard,fold3,1,0.001388888888888889,0.6704338755881231,0.6789656008620435,0.6844855448445858,0,0.6736806311629574
Bobcat_other_Howard,fold3,6,0.001388888888888889,0.7347032691688316,0.7300414222233733,0.7293084861986712,0,0.719485699924628
